cell_id_token,center_latitude,center_longitude,count,config_name
86d9,32.35888200888056,-108.80761947009503,4,config_1
86dd,31.170406262378183,-107.29028389464884,4,config_1
86df,32.5828493538554,-107.29028389464884,45,config_1
86e1,32.78638491369277,-105.78206743935718,1,config_1
86e3,32.969574598184394,-104.2861115827901,40,config_1
86e7,31.36908667195912,-105.78206743935718,38,config_1
86ec,29.299863407075296,-105.03236346529708,1,config_1
86fc,32.49562735400962,-102.0718280662253,30,config_1
8701,34.68416115174411,-101.34310583455695,10,config_1
8702c4,34.226411649394365,-103.26634785926352,1,config_1
8702dc4,34.381689370828894,-103.24326320176718,10,config_1
8702dd9,34.3771002599812,-103.18557018475742,5,config_1
8702ddb,34.37457880958151,-103.20864419143828,5,config_1
8702ddd,34.396382639212696,-103.20864419143828,36,config_1
8702ddf,34.39890483511509,-103.18557018475742,36,config_1
8702de04,34.41588468811903,-103.17980235137554,18,config_1
8702de0c,34.414624549078056,-103.19133828562867,10,config_1
8702de14,34.42552275007026,-103.19133828562867,17,config_1
8702de1c,34.42678307466757,-103.17980235137554,25,config_1
8702de3,34.442498008154864,-103.18557018475742,49,config_1
8702de5,34.43997432617424,-103.20864419143828,21,config_1
8702de64,34.42299838633183,-103.21441336052646,27,config_1
8702de6c,34.42426118736059,-103.20287528914318,22,config_1
8702de74,34.413363172128136,-103.20287528914318,28,config_1
8702de7c,34.41210055706262,-103.21441336052646,24,config_1
8702de84,34.41083670367538,-103.22595249838542,13,config_1
8702de8c,34.42173434677773,-103.22595249838542,25,config_1
8702de94,34.42046906849258,-103.23749270132649,4,config_1
8702de9c,34.40957161176074,-103.23749270132649,10,config_1
8702deb,34.413120406016596,-103.25480499971735,7,config_1
8702def,34.437445689285205,-103.23172246680781,13,config_1
8702dfc,34.47391710430892,-103.1971066538153,1,config_1
8702f,34.343782545790944,-102.9896150485228,39,config_1
8703c,34.92446954871148,-102.43805808577758,1,config_1
8705,35.921155923343846,-102.80547525792774,1,config_1
87084,37.1279063705676,-100.98070031132626,6,config_1
8708c,37.05782634326976,-101.70682943311247,5,config_1
87094,37.73214758319636,-101.70682943311247,7,config_1
87099,37.95317939829766,-101.16173564777472,3,config_1
8709b,37.617457639305286,-101.16173564777472,1,config_1
8709d,37.65139818663326,-100.80000510701574,6,config_1
8709f,37.98722220570917,-100.80000510701574,41,config_1
870b,38.76768450406455,-101.34310583455695,25,config_1
8714,37.68375213181352,-105.03236346529708,11,config_1
87181,35.99480537681307,-106.34637906744265,2,config_1
