cell_id_token,center_latitude,center_longitude,count,config_name
86d8c,32.76613104394006,-108.42760468979141,40,config_1
86d94,32.06630758392501,-108.42760468979141,10,config_1
86d9c,31.949906296822004,-109.18800474020169,14,config_1
86db,30.951860899740495,-108.80761947009503,1,config_1
86dd,31.170406262378183,-107.29028389464884,11,config_1
86de04,32.057710677420566,-106.62913035392717,7,config_1
86de15,32.24632188966349,-106.86503947741906,3,config_1
86de164,32.27801942286534,-106.79424052110762,21,config_1
86de174,32.240365624161775,-106.74705360196708,1,config_1
86de17c,32.284440226654915,-106.74705360196708,32,config_1
86de1c,32.234269414640345,-106.62913035392717,10,config_1
86de3,32.48576704653213,-106.72346389403498,49,config_1
86de5,32.433755500824994,-107.10119308682007,8,config_1
86de7,32.081587719312495,-107.10119308682007,1,config_1
86dec,32.17764290641432,-107.66888695938226,7,config_1
86df4,32.87874636367703,-107.66888695938226,9,config_1
86dfc,32.9862181299786,-106.91225102614887,8,config_1
86e04,33.088548240291445,-106.15809365922375,30,config_1
86e0c,32.385088575201415,-106.15809365922375,10,config_1
86e1c,33.18574821781208,-105.4068079114331,28,config_1
86e264,33.398952082914576,-104.37919124556632,2,config_1
86e26c,33.37685367394108,-104.56552726119028,48,config_1
86e27c,33.574494440568245,-104.37919124556632,1,config_1
86e34,32.65834488440744,-103.91439904540992,8,config_1
86e3c,32.5722853627744,-104.65878213755632,3,config_1
86e5,31.54796555760672,-104.2861115827901,40,config_1
86e64,31.058272187934506,-105.4068079114331,1,config_1
86e6c,31.771963856377475,-105.4068079114331,3,config_1
86e71,31.52340376801829,-105.96998775016152,3,config_1
86e73,31.878720555726105,-105.96998775016152,3,config_1
86e744,31.753503408281755,-106.25221430786118,23,config_1
86e74c,31.930773674215153,-106.25221430786118,2,config_1
86e754,31.905979196891007,-106.44058717271729,28,config_1
86e7584,31.785904017848924,-106.51127123632314,11,config_1
86e758c,31.741595332418868,-106.51127123632314,22,config_1
86e7594,31.74783610696112,-106.46414588201854,17,config_1
86e759c,31.79214959991099,-106.46414588201854,8,config_1
86e75b,31.779323047619698,-106.39347774973939,7,config_1
86e75d,31.690647333150356,-106.39347774973939,7,config_1
86e77,31.474820460529326,-106.34637906744265,25,config_1
86e7c,30.964506716398027,-106.15809365922375,1,config_1
86ed,28.654208362025958,-104.2861115827901,23,config_1
86ee4,29.786700406602325,-103.91439904540992,11,config_1
86eec,29.705042955179085,-104.65878213755632,3,config_1
86ef4,30.428062733481102,-104.65878213755632,7,config_1
86ef9,30.671013388404216,-104.10013262592865,25,config_1
86efb,30.31003056569537,-104.10013262592865,50,config_1
86efd,30.350115640511518,-103.72891667819331,4,config_1
86eff,30.711379292007017,-103.72891667819331,20,config_1
86f1,30.263803246138146,-102.80547525792774,21,config_1
86f3,28.804575718810888,-102.80547525792774,43,config_1
86f5,28.936850205971126,-101.34310583455695,3,config_1
86f7,30.400162337945318,-101.34310583455695,16,config_1
86f9,31.84730436225948,-101.34310583455695,10,config_1
86fb,31.707254188342684,-102.80547525792774,32,config_1
86fd,33.13265357551238,-102.80547525792774,13,config_1
86fe0c,33.65763478777534,-101.98046125028425,8,config_1
86fe12b,33.59043775606384,-101.87776643245115,44,config_1
86fe12d,33.59264642171992,-101.85495880581804,7,config_1
86fe134,33.60698469458877,-101.82075657884367,2,config_1
86fe13c,33.65110878284058,-101.82075657884367,1,config_1
86fe3,33.78958345620406,-101.52480554998527,1,config_1
86fe5,33.436282275214694,-101.52480554998527,2,config_1
86fe7,33.40157358444473,-101.8891720843707,23,config_1
86fec,32.88684586721839,-101.70682943311247,10,config_1
86ff4,32.953302765371205,-100.98070031132626,6,config_1
86ffc,33.66302387809893,-100.98070031132626,3,config_1
87004,34.36746385834631,-100.98070031132626,2,config_1
8700c,35.06638763194719,-100.98070031132626,20,config_1
87011,34.84140855274732,-101.52480554998527,8,config_1
87013,35.189228744240104,-101.52480554998527,4,config_1
87015,35.15367716123179,-101.8891720843707,47,config_1
87017,34.806013735039926,-101.8891720843707,3,config_1
8701c,34.299617578644025,-101.70682943311247,3,config_1
87024,34.22684746365561,-102.43805808577758,4,config_1
8702c4,34.226411649394365,-103.26634785926352,1,config_1
8702dc4,34.381689370828894,-103.24326320176718,10,config_1
8702dd9,34.3771002599812,-103.18557018475742,5,config_1
8702ddb,34.37457880958151,-103.20864419143828,5,config_1
8702ddd,34.396382639212696,-103.20864419143828,42,config_1
8702ddf,34.39890483511509,-103.18557018475742,41,config_1
8702de04,34.41588468811903,-103.17980235137554,16,config_1
8702de0c,34.414624549078056,-103.19133828562867,11,config_1
8702de14,34.42552275007026,-103.19133828562867,16,config_1
8702de1c,34.42678307466757,-103.17980235137554,25,config_1
8702de24,34.437680128105015,-103.17980235137554,20,config_1
8702de2c,34.44857584757475,-103.17980235137554,9,config_1
8702de34,34.4473151524799,-103.19133828562867,6,config_1
8702de3c,34.436419618156414,-103.19133828562867,17,config_1
8702de5,34.43997432617424,-103.20864419143828,20,config_1
8702de64,34.42299838633183,-103.21441336052646,27,config_1
8702de6c,34.42426118736059,-103.20287528914318,22,config_1
8702de74,34.413363172128136,-103.20287528914318,28,config_1
8702de7c,34.41210055706262,-103.21441336052646,27,config_1
8702de84,34.41083670367538,-103.22595249838542,13,config_1
8702de8c,34.42173434677773,-103.22595249838542,27,config_1
8702de94,34.42046906849258,-103.23749270132649,3,config_1
8702de9c,34.40957161176074,-103.23749270132649,11,config_1
8702deb,34.413120406016596,-103.25480499971735,6,config_1
8702def,34.437445689285205,-103.23172246680781,12,config_1
8702dfc,34.47391710430892,-103.1971066538153,1,config_1
8702f,34.343782545790944,-102.9896150485228,38,config_1
87034,34.845982406002406,-103.17403478565704,10,config_1
8703c,34.92446954871148,-102.43805808577758,2,config_1
8705,35.921155923343846,-102.80547525792774,19,config_1
8707,36.06991069362731,-101.34310583455695,6,config_1
87084,37.1279063705676,-100.98070031132626,6,config_1
8708c,37.05782634326976,-101.70682943311247,5,config_1
87094,37.73214758319636,-101.70682943311247,9,config_1
87099,37.95317939829766,-101.16173564777472,4,config_1
8709b,37.617457639305286,-101.16173564777472,1,config_1
8709d,37.65139818663326,-100.80000510701574,4,config_1
8709f,37.98722220570917,-100.80000510701574,42,config_1
870b,38.76768450406455,-101.34310583455695,32,config_1
870f,37.280690496116634,-102.80547525792774,6,config_1
8711,37.10889915590756,-104.2861115827901,27,config_1
87164,37.198730971474454,-106.15809365922375,4,config_1
8716c,37.301042914278284,-105.4068079114331,1,config_1
87171,36.77304966069307,-105.59433880659961,5,config_1
87173,36.82259813646065,-105.21948079223417,4,config_1
87175,36.485245148115986,-105.21948079223417,6,config_1
871764c,36.3756075462481,-105.57088650688814,3,config_1
8717654,36.417873000332314,-105.57088650688814,46,config_1
871765c,36.42410618819457,-105.52399122373996,26,config_1
87176c,36.53278727292038,-105.50054826391207,15,config_1
871774,36.50774220284412,-105.68817878401569,12,config_1
87177c,36.33880202907964,-105.68817878401569,17,config_1
8717c,36.52792822385739,-106.15809365922375,12,config_1
87181,35.99480537681307,-106.34637906744265,24,config_1
87183,36.04667599471466,-105.96998775016152,45,config_1
871844,35.77905507079722,-106.06401788566258,7,config_1
87184c,35.804580102292995,-105.87600401452671,6,config_1
8718501,35.697686670922295,-105.95823723010454,5,config_1
8718503,35.70086851299104,-105.93473837093502,21,config_1
87185041,35.68636562168683,-105.9435501018285,37,config_1
87185043,35.68104088491781,-105.9435501018285,4,config_1
87185045,35.681835845244265,-105.93767556900599,17,config_1
871850464,35.68602816647633,-105.93620696427305,37,config_1
87185046c,35.685630749098316,-105.9391441851309,25,config_1
871850474,35.68829304873787,-105.9391441851309,42,config_1
87185047c,35.68869047856378,-105.93620696427305,9,config_1
8718504c,35.685690149116915,-105.92886411158973,12,config_1
87185054,35.675039727194395,-105.92886411158973,2,config_1
8718505c,35.67345060774419,-105.94061281264489,4,config_1
8718507,35.676389621273174,-105.95823723010454,43,config_1
871850c,35.64602413800463,-105.94648743653362,34,config_1
8718514,35.65237340790974,-105.8994955568318,3,config_1
871851c,35.69498267871954,-105.8994955568318,9,config_1
871857,35.585247982808376,-105.92299003479476,2,config_1
871859,35.57251741627937,-106.0169970655137,2,config_1
87185b,35.65776457460111,-106.0169970655137,45,config_1
87185d,35.64493769382002,-106.11105011534488,1,config_1
87185f,35.55970350869149,-106.11105011534488,4,config_1
87187,35.655072482762144,-106.34637906744265,24,config_1
87189,35.313914204681836,-106.34637906744265,30,config_1
8718b,34.971355628787144,-106.34637906744265,37,config_1
8718d,35.02259244971104,-105.96998775016152,1,config_1
8718f,35.36537049228529,-105.96998775016152,32,config_1
87194,35.26869278593369,-105.4068079114331,40,config_1
8719c,35.95203495587482,-105.4068079114331,16,config_1
871b,35.751832590170785,-104.2861115827901,40,config_1
871d,34.371494072781154,-104.2861115827901,29,config_1
871f,34.184493033741475,-105.78206743935718,36,config_1
8721,33.97665363685664,-107.29028389464884,40,config_1
