index,config_1,config_2,config_3
86d84,86d84,86d84,86d9
86d904,86d904,86d94,86d9
86d914,86d914,86d94,86d9
86d91c,86d91c,86d94,86d9
86d99,86d99,86d99,86d9
86d9ac,86d9ac,86d9b,86d9
86d9b1,86d9b1,86d9b,86d9
86d9b3,86d9b3,86d9b,86d9
86d9b5,86d9b5,86d9b,86d9
86d9d,86d9d,86d9d,86d9
86dd,86dd,86dd,86dd
86de044,86de044,86de05,86de04
86de04c,86de04c,86de05,86de04
86de054,86de054,86de05,86de04
86de05c,86de05c,86de05,86de04
86de06c,86de06c,86de07,86de04
86de071,86de071,86de07,86de04
86de073,86de073,86de07,86de04
86de075,86de075,86de07,86de04
86de0c,86de0c,86de0c,86de0c
86de11,86de11,86de14,86de14
86de15,86de15,86de14,86de14
86de164,86de164,86de14,86de14
86de174,86de174,86de14,86de14
86de17c,86de17c,86de14,86de14
86de19,86de19,86de1c,86de1c
86de1a4,86de1a4,86de1c,86de1c
86de1ac,86de1ac,86de1c,86de1c
86de1b4,86de1b4,86de1c,86de1c
86de3,86de3,86de3,86de3
86de7,86de7,86de7,86de7
86ded,86ded,86dec,86dec
86dee4,86dee4,86dec,86dec
86deec,86deec,86dec,86dec
86def4,86def4,86dec,86dec
86defc,86defc,86dec,86dec
86df4,86df4,86df4,86df4
86e1,86e1,86e1,86e1
86e264,86e264,86e24,86e3
86e269,86e269,86e24,86e3
86e26e4,86e26e4,86e24,86e3
86e26ec,86e26ec,86e24,86e3
86e26f4,86e26f4,86e24,86e3
86e34,86e34,86e34,86e3
86e5,86e5,86e5,86e5
86e64,86e64,86e7,86e7
86e6c,86e6c,86e7,86e7
86e73,86e73,86e7,86e7
86e75,86e75,86e7,86e7
86e77,86e77,86e7,86e7
86ec,86ec,86ec,86ec
86f4,86f4,86f4,86f4
86f9,86f9,86f9,86fc
86fb,86fb,86fb,86fc
86fd,86fd,86fd,86fc
86fe4,86fe4,86fe4,86fc
86fec,86fec,86fec,86fc
86ff1,86ff1,86ff4,86fc
86ff3,86ff3,86ff4,86fc
86ff5,86ff5,86ff4,86fc
86ffc,86ffc,86ffc,86fc
87203,87203,87204,8721
87205,87205,87204,8721
87207,87207,87204,8721
8721c,8721c,8721c,8721
872204,872204,872204,872204
872209,872209,872209,872209
87220b,87220b,87220b,87220b
87220c4,87220c4,87220c4,87220c4
87220c9,87220c9,87220cc,87220cc
87220cb,87220cb,87220cc,87220cc
87220cd,87220cd,87220cc,87220cc
87220d4,87220d4,87220d4,87220d4
87220d9,87220d9,87220dc,87220dc
87220db,87220db,87220dc,87220dc
87220dd,87220dd,87220dc,87220dc
87220df,87220df,87220dc,87220dc
87220e4,87220e4,87220f,87220f
87220ec,87220ec,87220f,87220f
87220f4,87220f4,87220f,87220f
87220fc,87220fc,87220f,87220f
872214,872214,872214,872214
87221b,87221b,87221c,87221c
87221d,87221d,87221c,87221c
87223,87223,87223,87223
87226c,87226c,87226c,87227
872271,872271,872271,87227
872273,872273,872273,87227
8722744,8722744,872275,87227
872274c,872274c,872275,87227
872275c,872275c,872275,87227
872277,872277,872277,87227
87227c,87227c,87227c,87227
8722c,8722c,8722c,8722c
87234,87234,87234,87234
872384,872384,872384,87239
87238c,87238c,87238c,87239
872394,872394,872394,87239
87239a4,87239a4,87239c,87239
87239ac,87239ac,87239c,87239
87239b4,87239b4,87239c,87239
8723b4,8723b4,8723b,8723b
8723bc,8723bc,8723b,8723b
8723d,8723d,8723d,8723d
8723f,8723f,8723f,8723f
87241,87241,87244,87244
87245,87245,87244,87244
87247,87247,87244,87244
87249,87249,8724c,8724c
8724d,8724d,8724c,8724c
8724f,8724f,8724c,8724c
87254,87254,87254,87254
8725c,8725c,8725c,8725c
87264,87264,8727,8727
87269,87269,8727,8727
8726b,8726b,8727,8727
873a23,873a23,873a4,873a4
873a25,873a25,873a4,873a4
873a3c,873a3c,873a4,873a4
873ac,873ac,873ac,873ac
873b4,873b4,873b4,873b4
873b85,873b85,873b84,873b9
873b87,873b87,873b84,873b9
873b89,873b89,873b8c,873b9
873b8e4,873b8e4,873b8c,873b9
873b8ec,873b8ec,873b8c,873b9
873b8f4,873b8f4,873b8c,873b9
873b8fc,873b8fc,873b8c,873b9
873b94,873b94,873b94,873b9
873bb,873bb,873bb,873bb
873bf,873bf,873bf,873bf
873c4,873c4,873c4,873c4
873cc,873cc,873cc,873cc
873d3,873d3,873d4,873d4
873d5,873d5,873d4,873d4
873d7,873d7,873d4,873d4
873d84,873d84,873d84,873dc
873d91,873d91,873d94,873dc
873d95,873d95,873d94,873dc
873d9c,873d9c,873d9c,873dc
873db,873db,873db,873dc
873dd,873dd,873dd,873dc
873df,873df,873df,873dc
8700c,8700c,8701,8701
87014,87014,8701,8701
8701c,8701c,8701,8701
8702c4,8702c4,8702c4,8702c4
8702dc4,8702dc4,8702dc4,8702dc4
8702dd9,8702dd9,8702dd9,8702ddc
8702ddb,8702ddb,8702ddb,8702ddc
8702ddc4,8702ddc4,8702ddd,8702ddc
8702ddcc,8702ddcc,8702ddd,8702ddc
8702ddd4,8702ddd4,8702ddd,8702ddc
8702dddc,8702dddc,8702ddd,8702ddc
8702dde4,8702dde4,8702ddf,8702ddc
8702ddec,8702ddec,8702ddf,8702ddc
8702ddf4,8702ddf4,8702ddf,8702ddc
8702ddfc,8702ddfc,8702ddf,8702ddc
8702de04,8702de04,8702de04,8702de1
8702de0c,8702de0c,8702de0c,8702de1
8702de14,8702de14,8702de14,8702de1
8702de1c,8702de1c,8702de1c,8702de1
8702de24,8702de24,8702de3,8702de3
8702de2c,8702de2c,8702de3,8702de3
8702de34,8702de34,8702de3,8702de3
8702de3c,8702de3c,8702de3,8702de3
8702de44,8702de44,8702de5,8702de5
8702de4c,8702de4c,8702de5,8702de5
8702de54,8702de54,8702de5,8702de5
8702de5c,8702de5c,8702de5,8702de5
8702de64,8702de64,8702de64,8702de7
8702de6c,8702de6c,8702de6c,8702de7
8702de74,8702de74,8702de74,8702de7
8702de7c,8702de7c,8702de7c,8702de7
8702de84,8702de84,8702de9,8702dec
8702de8c,8702de8c,8702de9,8702dec
8702de94,8702de94,8702de9,8702dec
8702de9c,8702de9c,8702de9,8702dec
8702deb,8702deb,8702deb,8702dec
8702ded,8702ded,8702ded,8702dec
8702def,8702def,8702def,8702dec
8702df4,8702df4,8702df4,8702df4
8702dfc,8702dfc,8702dfc,8702dfc
8702e09,8702e09,8702e1,8702f
8702e0a4,8702e0a4,8702e1,8702f
8702e0ac,8702e0ac,8702e1,8702f
8702e0b4,8702e0b4,8702e1,8702f
8702e0bc,8702e0bc,8702e1,8702f
8702e0d,8702e0d,8702e1,8702f
8702e14,8702e14,8702e1,8702f
