index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
86d84,86d84,86d84,86d84,-10506.361443657184,-30422.722829079215,20622.93416423956,6.0,-10506.361443657184,-30422.722829079215,20622.93416423956,6.0,-10506.361443657184,-30422.722829079215,20622.93416423956,6.0
86d89,86d89,86d8c,86d8c,-22165.70623840063,-65832.70429056355,45104.26547830514,13.0,-157993.61733906044,-477834.103569715,324594.28494968935,94.0,-157993.61733906044,-477834.103569715,324594.28494968935,94.0
86d8b,86d8b,86d8c,86d8c,-25103.350259719668,-76236.20618880099,51870.427256494164,15.0,-157993.61733906044,-477834.103569715,324594.28494968935,94.0,-157993.61733906044,-477834.103569715,324594.28494968935,94.0
86d8d,86d8d,86d8c,86d8c,0.0,0.0,0.0,0.0,-157993.61733906044,-477834.103569715,324594.28494968935,94.0,-157993.61733906044,-477834.103569715,324594.28494968935,94.0
86d904,86d904,86d94,86d94,-81142.43874112485,-239618.78971266738,160191.96476431636,47.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0
86d914,86d914,86d94,86d94,-1706.7314734092272,-5112.236269182978,3397.3314727005823,1.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0
86d91c,86d91c,86d94,86d94,-18867.55041860727,-56158.32676356173,37438.13331949951,11.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0
86d93,86d93,86d94,86d94,-5086.818555444123,-15352.870149435139,10184.350107740629,3.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0
86d95,86d95,86d94,86d94,-6778.635419367587,-20549.85681796415,13460.55571597489,4.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0
86d97,86d97,86d94,86d94,-12052.56664130781,-35883.402303378825,23579.816168385732,7.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0,-125634.74124926084,-372675.48201619025,248252.15154861772,73.0
86d99,86d99,86d99,86d9c,-65175.24411205687,-189306.46109368955,124428.7865263217,37.0,-65175.24411205687,-189306.46109368955,124428.7865263217,37.0,-291112.86971799406,-840942.2407731189,559565.2436260299,165.0
86d9a4,86d9a4,86d9b,86d9c,-5252.849214080544,-15315.436806783571,10156.406589729746,3.0,-144330.35557056408,-417646.417930508,278684.74295187846,82.0,-291112.86971799406,-840942.2407731189,559565.2436260299,165.0
86d9ac,86d9ac,86d9b,86d9c,-24452.758801615717,-71350.32934550397,47610.66274036908,14.0,-144330.35557056408,-417646.417930508,278684.74295187846,82.0,-291112.86971799406,-840942.2407731189,559565.2436260299,165.0
