index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
86d84,86d84,86d84,86d84,-10506.361443657184,-30422.722829079215,20622.93416423956,6.0,-10506.361443657184,-30422.722829079215,20622.93416423956,6.0,-10506.361443657184,-30422.722829079215,20622.93416423956,6.0
86d89,86d89,86d8c,86d8c,-18743.4169245959,-55703.60544473856,38172.58788861324,11.0,-90857.00430839458,-274406.612129158,186560.55518309475,54.0,-90857.00430839458,-274406.612129158,186560.55518309475,54.0
86d8b,86d8b,86d8c,86d8c,-10033.007596164918,-30478.851677061135,20775.18090269354,6.0,-90857.00430839458,-274406.612129158,186560.55518309475,54.0,-90857.00430839458,-274406.612129158,186560.55518309475,54.0
86d8d,86d8d,86d8c,86d8c,-62080.57978763378,-188224.15500735835,127612.78639178794,37.0,-90857.00430839458,-274406.612129158,186560.55518309475,54.0,-90857.00430839458,-274406.612129158,186560.55518309475,54.0
86d904,86d904,86d94,86d94,-70782.78238399685,-209031.15966428505,139739.4462633006,41.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0
86d914,86d914,86d94,86d94,-1706.7314734092272,-5112.236269182978,3397.3314727005823,1.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0
86d91c,86d91c,86d94,86d94,-18867.55041860727,-56158.32676356173,37438.13331949951,11.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0
86d93,86d93,86d94,86d94,-3383.0009496505727,-10238.159588084234,6789.280952410966,2.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0
86d95,86d95,86d94,86d94,-3369.4338382188103,-10285.504664661585,6724.13644606769,2.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0
86d97,86d97,86d94,86d94,-10329.297704957256,-30761.01748101048,20206.202225703928,6.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0,-108438.79676883998,-321586.4044307861,214294.53067968332,63.0
86d99,86d99,86d99,86d9c,-47526.51271507374,-138148.9997522209,90807.20372664694,27.0,-47526.51271507374,-138148.9997522209,90807.20372664694,27.0,-266450.66900581913,-769393.1752843198,512363.18486241414,151.0
86d9a4,86d9a4,86d9b,86d9c,-3500.3200467906017,-10212.264841552293,6768.7775455820565,2.0,-137316.88625537232,-397254.8137831774,265104.2669879374,78.0,-266450.66900581913,-769393.1752843198,512363.18486241414,151.0
86d9ac,86d9ac,86d9b,86d9c,-19191.818653713864,-56061.8971634047,37417.81582057568,11.0,-137316.88625537232,-397254.8137831774,265104.2669879374,78.0,-266450.66900581913,-769393.1752843198,512363.18486241414,151.0
86d9b1,86d9b1,86d9b,86d9c,-24632.549499427034,-71317.15541620688,47567.766155895006,14.0,-137316.88625537232,-397254.8137831774,265104.2669879374,78.0,-266450.66900581913,-769393.1752843198,512363.18486241414,151.0
86d9b3,86d9b3,86d9b,86d9c,-33466.71010825026,-96767.63869568998,64567.05126149408,19.0,-137316.88625537232,-397254.8137831774,265104.2669879374,78.0,-266450.66900581913,-769393.1752843198,512363.18486241414,151.0
86d9b5,86d9b5,86d9b,86d9c,-56525.48794719054,-162895.85766632354,108782.85620439055,32.0,-137316.88625537232,-397254.8137831774,265104.2669879374,78.0,-266450.66900581913,-769393.1752843198,512363.18486241414,151.0
86d9d,86d9d,86d9d,86d9c,-81607.27003537305,-233989.36174892148,156451.71414782986,46.0,-81607.27003537305,-233989.36174892148,156451.71414782986,46.0,-266450.66900581913,-769393.1752843198,512363.18486241414,151.0
86db,86db,86db,86db,-14096.817143672968,-41080.24104027459,26672.660608612383,8.0,-14096.817143672968,-41080.24104027459,26672.660608612383,8.0,-14096.817143672968,-41080.24104027459,26672.660608612383,8.0
86dd,86dd,86dd,86dd,-63631.88821978014,-212525.6489437495,137892.3929749493,41.0,-63631.88821978014,-212525.6489437495,137892.3929749493,41.0,-63631.88821978014,-212525.6489437495,137892.3929749493,41.0
86de01,86de01,86de01,86de04,-3079.997126160692,-10352.88692457688,6759.462175775154,2.0,-3079.997126160692,-10352.88692457688,6759.462175775154,2.0,-198253.51031712905,-662249.5119233554,432600.3891205518,128.0
86de03,86de03,86de03,86de04,-1541.3159591826275,-5171.577432992755,3386.5742422404423,1.0,-1541.3159591826275,-5171.577432992755,3386.5742422404423,1.0,-198253.51031712905,-662249.5119233554,432600.3891205518,128.0
86de044,86de044,86de05,86de04,-9295.697760897747,-31034.508256232977,20289.908951897345,6.0,-88311.3882835426,-294730.63813589845,192901.62455566545,57.0,-198253.51031712905,-662249.5119233554,432600.3891205518,128.0
86de04c,86de04c,86de05,86de04,-12383.143230504433,-41355.528626488376,27094.68966508287,8.0,-88311.3882835426,-294730.63813589845,192901.62455566545,57.0,-198253.51031712905,-662249.5119233554,432600.3891205518,128.0
86de054,86de054,86de05,86de04,-15489.80154709495,-51690.349348912234,33869.58598276726,10.0,-88311.3882835426,-294730.63813589845,192901.62455566545,57.0,-198253.51031712905,-662249.5119233554,432600.3891205518,128.0
86de05c,86de05c,86de05,86de04,-51142.74574504547,-170650.2519042649,111647.43995591799,33.0,-88311.3882835426,-294730.63813589845,192901.62455566545,57.0,-198253.51031712905,-662249.5119233554,432600.3891205518,128.0
86de06c,86de06c,86de07,86de04,-27891.457855995868,-93140.09211787341,60811.75505054306,18.0,-105320.80894824312,-351994.40942988725,229552.7281468707,68.0,-198253.51031712905,-662249.5119233554,432600.3891205518,128.0
86de074,86de074,86de07,86de04,-77429.35109224725,-258854.31731201388,168740.97309632765,50.0,-105320.80894824312,-351994.40942988725,229552.7281468707,68.0,-198253.51031712905,-662249.5119233554,432600.3891205518,128.0
86de0c,86de0c,86de0c,86de0c,-12474.51569921132,-41343.11624807669,27071.70827341859,8.0,-12474.51569921132,-41343.11624807669,27071.70827341859,8.0,-12474.51569921132,-41343.11624807669,27071.70827341859,8.0
86de11,86de11,86de14,86de14,-32581.038425497718,-108410.56673877005,71314.12999488295,21.0,-135275.56971141,-448789.848322261,295823.8195064623,87.0,-135275.56971141,-448789.848322261,295823.8195064623,87.0
86de15,86de15,86de14,86de14,-29708.22216044505,-97938.38463846545,64640.485347493166,19.0,-135275.56971141,-448789.848322261,295823.8195064623,87.0,-135275.56971141,-448789.848322261,295823.8195064623,87.0
86de17,86de17,86de14,86de14,-72986.30912546725,-242440.8969450255,159869.20416408614,47.0,-135275.56971141,-448789.848322261,295823.8195064623,87.0,-135275.56971141,-448789.848322261,295823.8195064623,87.0
86de19,86de19,86de1c,86de1c,-21685.074505257096,-72250.00473208322,47594.99646843675,14.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0
86de1a4,86de1a4,86de1c,86de1c,-52703.65266480292,-175569.3492254393,115410.05252378632,34.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0
86de1ac,86de1ac,86de1c,86de1c,-21688.147656220935,-72330.07164936786,47471.8466808312,14.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0
86de1b4,86de1b4,86de1c,86de1c,-7732.6829158311875,-25832.97756606555,16958.97118399747,5.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0
86de1d,86de1d,86de1c,86de1c,-3076.9548388349667,-10334.486193062403,6788.942163198915,2.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0
86de1f,86de1f,86de1c,86de1c,-18450.18995271253,-61931.35590652791,40853.66249794064,12.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0,-125336.70253365963,-418248.2452725462,275078.4715181913,81.0
