index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
86d84,86d84,86d84,86d9,-8755.515670997022,-25352.094133280796,17185.927204778887,5.0,-8755.515670997022,-25352.094133280796,17185.927204778887,5.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d904,86d904,86d94,86d9,-72504.87004943569,-214129.46909414788,143149.95417813753,42.0,-87932.18590125773,-260085.179053638,173774.07420403292,51.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d914,86d914,86d94,86d9,-1706.7314734092272,-5112.236269182978,3397.3314727005823,1.0,-87932.18590125773,-260085.179053638,173774.07420403292,51.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d91c,86d91c,86d94,86d9,-13720.58437841282,-40843.47369030715,27226.788553194787,8.0,-87932.18590125773,-260085.179053638,173774.07420403292,51.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d99,86d99,86d99,86d9,-10598.760347646814,-30703.936847296533,20153.548982980894,6.0,-10598.760347646814,-30703.936847296533,20153.548982980894,6.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d9ac,86d9ac,86d9b,86d9,-24415.288601785785,-71351.38700034082,47628.331809106494,14.0,-137273.44343474827,-397241.6752163401,265146.4344126354,78.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d9b1,86d9b1,86d9b,86d9,-24632.549499427034,-71317.15541620688,47567.766155895006,14.0,-137273.44343474827,-397241.6752163401,265146.4344126354,78.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d9b3,86d9b3,86d9b,86d9,-31704.988521463856,-91674.84839591752,61168.58438025601,18.0,-137273.44343474827,-397241.6752163401,265146.4344126354,78.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d9b5,86d9b5,86d9b,86d9,-56520.616812071574,-162898.2844038749,108781.75206737788,32.0,-137273.44343474827,-397241.6752163401,265146.4344126354,78.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
86d9d,86d9d,86d9d,86d9,-79834.88939223479,-228902.26315044356,153050.267880267,45.0,-79834.88939223479,-228902.26315044356,153050.267880267,45.0,-324394.7947468846,-942285.148400999,629310.252684695,185.0
