index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
86d8c,86d8c,86d9,86d9,-67136.61303066587,-203427.49144055694,138033.72976659448,40.0,-108994.75822326166,-326065.6345147603,219193.40939914476,64.0,-108994.75822326166,-326065.6345147603,219193.40939914476,64.0
86d94,86d94,86d9,86d9,-17195.944480420872,-51089.07758540414,33957.620868934406,10.0,-108994.75822326166,-326065.6345147603,219193.40939914476,64.0,-108994.75822326166,-326065.6345147603,219193.40939914476,64.0
86d9c,86d9c,86d9,86d9,-24662.200712174923,-71549.0654887992,47202.05876361586,14.0,-108994.75822326166,-326065.6345147603,219193.40939914476,64.0,-108994.75822326166,-326065.6345147603,219193.40939914476,64.0
86db,86db,86db,86db,-1721.9390747297296,-5140.820690388146,3346.138308838041,1.0,-1721.9390747297296,-5140.820690388146,3346.138308838041,1.0,-1721.9390747297296,-5140.820690388146,3346.138308838041,1.0
86dd,86dd,86dd,86dd,-16988.607725032853,-57045.35028076805,36994.19208509761,11.0,-16988.607725032853,-57045.35028076805,36994.19208509761,11.0,-16988.607725032853,-57045.35028076805,36994.19208509761,11.0
86de04,86de04,86de1,86df,-10834.52834069664,-36212.46663774656,23667.826797041635,7.0,-114849.47161377,-381788.81270100194,251626.44053851537,74.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86de15,86de15,86de1,86df,-4677.714649254683,-15473.100666744558,10198.52536320983,3.0,-114849.47161377,-381788.81270100194,251626.44053851537,74.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86de164,86de164,86de1,86df,-32680.20159599461,-108289.0118130753,71453.3051381119,21.0,-114849.47161377,-381788.81270100194,251626.44053851537,74.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86de174,86de174,86de1,86df,-1551.1170797064829,-5159.3091072379175,3400.7820381041993,1.0,-114849.47161377,-381788.81270100194,251626.44053851537,74.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86de17c,86de17c,86de1,86df,-49658.47643238194,-165031.91757210658,108914.67355471576,32.0,-114849.47161377,-381788.81270100194,251626.44053851537,74.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86de1c,86de1c,86de1,86df,-15447.433515735635,-51623.00690409097,33991.32764733203,10.0,-114849.47161377,-381788.81270100194,251626.44053851537,74.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86de3,86de3,86de3,86df,-75983.51439362744,-252580.97777167,166988.49593599903,49.0,-75983.51439362744,-252580.97777167,166988.49593599903,49.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86de5,86de5,86de5,86df,-12545.671829184688,-41120.586109709744,27375.973584672174,8.0,-12545.671829184688,-41120.586109709744,27375.973584672174,8.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86de7,86de7,86de7,86df,-1567.8514591656292,-5153.627667004969,3401.7226226649577,1.0,-1567.8514591656292,-5153.627667004969,3401.7226226649577,1.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86dec,86dec,86dec,86df,-11446.612311861581,-35960.75962587382,23762.809578375905,7.0,-11446.612311861581,-35960.75962587382,23762.809578375905,7.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86df4,86df4,86df4,86df,-14724.327411910745,-45891.57042952425,31062.579906466184,9.0,-14724.327411910745,-45891.57042952425,31062.579906466184,9.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86dfc,86dfc,86dfc,86df,-12562.599579889596,-40915.16452058785,27673.40775204139,8.0,-12562.599579889596,-40915.16452058785,27673.40775204139,8.0,-243680.04859940964,-803411.4988253724,531891.429918735,156.0
86e04,86e04,86e1,86e1,-44302.37845055751,-154262.5357324593,103781.78116369797,30.0,-99481.74033627534,-349376.7767702829,236043.08193251266,68.0,-99481.74033627534,-349376.7767702829,236043.08193251266,68.0
86e0c,86e0c,86e1,86e1,-15035.878903796745,-51595.2921202669,34216.343800100796,10.0,-99481.74033627534,-349376.7767702829,236043.08193251266,68.0,-99481.74033627534,-349376.7767702829,236043.08193251266,68.0
86e1c,86e1c,86e1,86e1,-40143.482981921086,-143518.94891755664,98044.95696871386,28.0,-99481.74033627534,-349376.7767702829,236043.08193251266,68.0,-99481.74033627534,-349376.7767702829,236043.08193251266,68.0
86e264,86e264,86e3,86e3,-2639.877202678528,-10306.536175612582,7011.782351211788,2.0,-82604.51679287701,-319878.9571143879,216504.07330008515,62.0,-82604.51679287701,-319878.9571143879,216504.07330008515,62.0
86e26c,86e26c,86e3,86e3,-64013.11633312334,-247136.0768448107,168359.32328581554,48.0,-82604.51679287701,-319878.9571143879,216504.07330008515,62.0,-82604.51679287701,-319878.9571143879,216504.07330008515,62.0
