[01:15:16] INFO - Epoch 1/30 | train loss=3.8113 acc=0.3056 | val loss=2.8426 acc=0.3792
[11:01:47] INFO - Epoch 1/30 | train loss=6.1322 acc=0.1443 | val loss=5.0949 acc=0.2490
[11:04:38] INFO - Epoch 2/30 | train loss=4.1188 acc=0.3794 | val loss=4.2063 acc=0.3319
[11:07:27] INFO - Epoch 3/30 | train loss=3.1604 acc=0.5089 | val loss=3.7263 acc=0.3790
[11:10:15] INFO - Epoch 4/30 | train loss=2.5551 acc=0.5993 | val loss=3.4297 acc=0.4112
[11:13:04] INFO - Epoch 5/30 | train loss=2.1260 acc=0.6710 | val loss=3.2272 acc=0.4281
[11:15:53] INFO - Epoch 6/30 | train loss=1.7996 acc=0.7257 | val loss=3.0931 acc=0.4441
[12:03:44] INFO - Epoch 1/30 | train loss=7.8214 acc=0.07% | val loss=7.8040 acc=0.11% | time=199.91s
[12:06:36] INFO - Epoch 2/30 | train loss=7.7955 acc=0.14% | val loss=7.7883 acc=0.21% | time=171.27s
[12:10:20] INFO - Epoch 1/30 | train loss=72.8436 acc=0.49% | val loss=68.1176 acc=0.64% | time=171.11s
[12:13:09] INFO - Epoch 2/30 | train loss=68.2543 acc=0.74% | val loss=68.4086 acc=0.61% | time=168.94s
[12:17:49] INFO - Epoch 1/30 | train loss=7.8208 acc=0.08% | val loss=7.8027 acc=0.13% | time=200.45s
[12:20:39] INFO - Epoch 2/30 | train loss=7.7940 acc=0.17% | val loss=7.7864 acc=0.21% | time=170.23s
[12:23:29] INFO - Epoch 3/30 | train loss=7.7765 acc=0.23% | val loss=7.7706 acc=0.31% | time=169.93s
[12:29:03] INFO - Epoch 1/30 | train loss=6.2929 acc=12.53% | val loss=5.3342 acc=21.72% | time=202.22s
[12:31:55] INFO - Epoch 2/30 | train loss=4.6866 acc=31.35% | val loss=4.7938 acc=27.02% | time=171.71s
[12:34:46] INFO - Epoch 3/30 | train loss=4.0124 acc=37.81% | val loss=4.1975 acc=32.26% | time=171.52s
[12:37:38] INFO - Epoch 4/30 | train loss=3.3243 acc=46.54% | val loss=3.8388 acc=35.54% | time=171.13s
[12:40:29] INFO - Epoch 5/30 | train loss=2.8527 acc=53.34% | val loss=3.5823 acc=37.97% | time=170.94s
[12:43:21] INFO - Epoch 6/30 | train loss=2.5018 acc=58.72% | val loss=3.4072 acc=39.95% | time=171.87s
[15:06:34] INFO - Epoch 1/30 | train loss=6.3010 acc=11.96% | val loss=5.3316 acc=20.87% | time=212.82s
[15:11:05] INFO - Epoch 1/30 | train loss=6.3010 acc=11.96% | val loss=5.3316 acc=20.87% | time=234.44s
[15:14:07] INFO - Epoch 2/30 | train loss=4.6655 acc=32.45% | val loss=4.7971 acc=26.40% | time=180.75s
[15:17:08] INFO - Epoch 3/30 | train loss=3.9887 acc=39.05% | val loss=4.2085 acc=31.28% | time=181.07s
[15:20:13] INFO - Epoch 4/30 | train loss=3.2950 acc=48.58% | val loss=3.8557 acc=34.54% | time=185.18s
[15:23:32] INFO - Epoch 5/30 | train loss=2.8189 acc=55.85% | val loss=3.6002 acc=37.30% | time=198.27s
[15:26:36] INFO - Epoch 6/30 | train loss=2.4658 acc=61.60% | val loss=3.4288 acc=38.93% | time=183.31s
[15:29:31] INFO - Epoch 7/30 | train loss=2.1832 acc=66.26% | val loss=3.2934 acc=40.52% | time=175.22s
[15:32:27] INFO - Epoch 8/30 | train loss=1.9573 acc=70.07% | val loss=3.1920 acc=41.52% | time=175.91s
